professor
profssir
. a b c d e f g h i j k l m n o p q r s t u v w x y z -
a 4 0 0 0 2 0 0 0 2 0 0 0 0 0 2 0 1 0 1 1 2 0 1 0 0 1 1
b 0 4 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1
c 0 0 4 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1
d 0 0 1 4 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1
e 2 0 0 1 4 0 0 0 2 0 0 0 0 0 2 0 0 1 1 0 2 0 1 0 0 0 1
f 0 0 1 1 0 4 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1
g 0 1 0 0 0 1 4 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1
h 0 1 0 0 0 0 1 4 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1
i 2 0 0 0 2 0 0 0 4 1 1 1 0 0 2 0 0 0 0 0 2 0 0 0 0 0 1
j 0 0 0 0 0 0 0 1 1 4 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1
k 0 0 0 0 0 0 0 0 0 1 4 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1
l 0 0 0 0 0 0 0 0 1 0 1 4 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1
m 0 0 0 0 0 0 0 0 0 1 1 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 1
n 0 1 0 0 0 0 0 1 0 1 0 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0 1
o 2 0 0 0 2 0 0 0 2 0 1 1 0 0 4 1 0 0 0 0 2 0 0 0 0 0 1
p 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 4 0 0 0 0 0 0 0 0 0 0 1
q 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 1
r 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 1
s 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 1 0 1 1
t 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 1 0 1
u 2 0 0 0 2 0 0 1 2 1 0 0 0 0 2 0 0 0 0 0 4 0 0 0 1 0 1
v 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1
w 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 4 0 0 0 1
x 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 1 1
y 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 4 0 1
z 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 4 1
- 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
